model,group,layer_1based,kind,logical_parameters,payload_bytes,tensor_count,routed_parameters,attention_parameters,shared_parameters,active_linear_parameters
Kimi-K2-Instruct,decoder,46,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,47,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,48,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,49,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,50,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,51,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,52,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,53,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,54,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,55,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,56,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,57,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,58,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,59,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,60,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,decoder,61,MLA + MoE,17059365248,17066299728,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct,embedding,0,,1174405120,2348810240,1,,,,
Kimi-K2-Instruct,final_norm_and_residual,0,,7168,14336,1,,,,
Kimi-K2-Instruct,output_head,0,,1174405120,2348810240,1,,,,1174405120
Kimi-K2-Instruct-0905,decoder,1,MLA + Dense,497500160,497638368,21,,101124096,,497483776
Kimi-K2-Instruct-0905,decoder,2,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,3,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,4,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,5,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,6,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,7,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,8,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,9,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,10,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,11,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,12,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,13,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,14,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,15,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,16,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,17,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,18,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,19,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,20,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,21,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,22,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
Kimi-K2-Instruct-0905,decoder,23,MLA + MoE,17059365248,17066299872,2327,16911433728,101124096,44040192,500236288.00000215
